TransactionNo,TransactionNo,Items,DateTime,Daypart,DayType
82,82,Bread,10/31/2016 8:47,Morning,Weekday
83,83,Coffee,10/31/2016 8:57,Morning,Weekday
83,83,Bread,10/31/2016 8:57,Morning,Weekday
84,84,Bread,10/31/2016 9:04,Morning,Weekday
85,85,Coffee,10/31/2016 9:10,Morning,Weekday
85,85,Coffee,10/31/2016 9:10,Morning,Weekday
85,85,Pastry,10/31/2016 9:10,Morning,Weekday
85,85,Medialuna,10/31/2016 9:10,Morning,Weekday
86,86,Juice,10/31/2016 9:11,Morning,Weekday
87,87,Bread,10/31/2016 9:12,Morning,Weekday
88,88,Coffee,10/31/2016 9:16,Morning,Weekday
88,88,Coffee,10/31/2016 9:16,Morning,Weekday
88,88,Jam,10/31/2016 9:16,Morning,Weekday
89,89,Bread,10/31/2016 9:19,Morning,Weekday
90,90,Bread,10/31/2016 9:20,Morning,Weekday
90,90,Coffee,10/31/2016 9:20,Morning,Weekday
91,91,Tea,10/31/2016 9:22,Morning,Weekday
92,92,Coffee,10/31/2016 9:27,Morning,Weekday
93,93,Bread,10/31/2016 9:29,Morning,Weekday
93,93,Coke,10/31/2016 9:29,Morning,Weekday
94,94,Coffee,10/31/2016 9:39,Morning,Weekday
94,94,Coffee,10/31/2016 9:39,Morning,Weekday
95,95,Tea,10/31/2016 9:43,Morning,Weekday
95,95,Pastry,10/31/2016 9:43,Morning,Weekday
95,95,Farm House,10/31/2016 9:43,Morning,Weekday
96,96,Pastry,10/31/2016 9:46,Morning,Weekday
96,96,Pastry,10/31/2016 9:46,Morning,Weekday
96,96,Coffee,10/31/2016 9:46,Morning,Weekday
96,96,Juice,10/31/2016 9:46,Morning,Weekday
97,97,Coffee,10/31/2016 9:51,Morning,Weekday
97,97,Pastry,10/31/2016 9:51,Morning,Weekday
97,97,Juice,10/31/2016 9:51,Morning,Weekday
98,98,Farm House,10/31/2016 9:52,Morning,Weekday
99,99,Pastry,10/31/2016 9:56,Morning,Weekday
99,99,Pastry,10/31/2016 9:56,Morning,Weekday
99,99,Coffee,10/31/2016 9:56,Morning,Weekday
99,99,Bread,10/31/2016 9:56,Morning,Weekday
100,100,Bread,10/31/2016 9:58,Morning,Weekday
101,101,Coffee,10/31/2016 10:04,Morning,Weekday
101,101,Pastry,10/31/2016 10:04,Morning,Weekday
102,102,Farm House,10/31/2016 10:04,Morning,Weekday
103,103,Bread,10/31/2016 10:07,Morning,Weekday
104,104,Coffee,10/31/2016 10:12,Morning,Weekday
104,104,Coffee,10/31/2016 10:12,Morning,Weekday
104,104,Medialuna,10/31/2016 10:12,Morning,Weekday
104,104,Muffin,10/31/2016 10:12,Morning,Weekday
104,104,Coffee,10/31/2016 10:12,Morning,Weekday
105,105,Coffee,10/31/2016 10:21,Morning,Weekday
105,105,Tea,10/31/2016 10:21,Morning,Weekday
105,105,Cake,10/31/2016 10:21,Morning,Weekday
106,106,Coffee,10/31/2016 10:24,Morning,Weekday
106,106,Coffee,10/31/2016 10:24,Morning,Weekday
106,106,Pastry,10/31/2016 10:24,Morning,Weekday
106,106,Pastry,10/31/2016 10:24,Morning,Weekday
107,107,Coffee,10/31/2016 10:27,Morning,Weekday
107,107,Tea,10/31/2016 10:27,Morning,Weekday
108,108,Farm House,10/31/2016 10:31,Morning,Weekday
108,108,Muffin,10/31/2016 10:31,Morning,Weekday
109,109,Bread,10/31/2016 10:35,Morning,Weekday
109,109,Muffin,10/31/2016 10:35,Morning,Weekday
109,109,Pastry,10/31/2016 10:35,Morning,Weekday
110,110,Pastry,10/31/2016 10:36,Morning,Weekday
111,111,Coffee,10/31/2016 10:38,Morning,Weekday
112,112,Coffee,10/31/2016 10:59,Morning,Weekday
113,113,Coffee,10/31/2016 11:02,Morning,Weekday
113,113,Cake,10/31/2016 11:02,Morning,Weekday
114,114,Farm House,10/31/2016 11:05,Morning,Weekday
115,115,Bread,10/31/2016 11:08,Morning,Weekday
116,116,Coffee,10/31/2016 11:11,Morning,Weekday
117,117,Cookies,10/31/2016 11:13,Morning,Weekday
117,117,Cake,10/31/2016 11:13,Morning,Weekday
117,117,Coffee,10/31/2016 11:13,Morning,Weekday
117,117,My-5 Fruit Shoot,10/31/2016 11:13,Morning,Weekday
118,118,Cookies,10/31/2016 11:18,Morning,Weekday
118,118,Cookies,10/31/2016 11:18,Morning,Weekday
118,118,Tea,10/31/2016 11:18,Morning,Weekday
118,118,Pastry,10/31/2016 11:18,Morning,Weekday
119,119,Coffee,10/31/2016 11:25,Morning,Weekday
119,119,Coffee,10/31/2016 11:25,Morning,Weekday
119,119,Muffin,10/31/2016 11:25,Morning,Weekday
120,120,Farm House,10/31/2016 11:29,Morning,Weekday
121,121,Coffee,10/31/2016 11:30,Morning,Weekday
121,121,Bread,10/31/2016 11:30,Morning,Weekday
122,122,Cookies,10/31/2016 11:37,Morning,Weekday
123,123,Jam,10/31/2016 11:42,Morning,Weekday
123,123,Coffee,10/31/2016 11:42,Morning,Weekday
123,123,Coffee,10/31/2016 11:42,Morning,Weekday
123,123,Juice,10/31/2016 11:42,Morning,Weekday
124,124,Coffee,10/31/2016 11:43,Morning,Weekday
124,124,Soup,10/31/2016 11:43,Morning,Weekday
125,125,Tea,10/31/2016 11:47,Morning,Weekday
126,126,Coffee,10/31/2016 11:52,Morning,Weekday
126,126,Jam,10/31/2016 11:52,Morning,Weekday
127,127,Farm House,10/31/2016 11:53,Morning,Weekday
128,128,Tartine,10/31/2016 11:55,Morning,Weekday
128,128,Coffee,10/31/2016 11:55,Morning,Weekday
128,128,Tea,10/31/2016 11:55,Morning,Weekday
129,129,Coffee,10/31/2016 11:59,Morning,Weekday
129,129,Coffee,10/31/2016 11:59,Morning,Weekday
129,129,Cake,10/31/2016 11:59,Morning,Weekday
130,130,Coffee,10/31/2016 12:03,Afternoon,Weekday
130,130,Coffee,10/31/2016 12:03,Afternoon,Weekday
130,130,Muffin,10/31/2016 12:03,Afternoon,Weekday
131,131,Bread,10/31/2016 12:08,Afternoon,Weekday
131,131,Coffee,10/31/2016 12:08,Afternoon,Weekday
132,132,Tea,10/31/2016 12:14,Afternoon,Weekday
132,132,Juice,10/31/2016 12:14,Afternoon,Weekday
132,132,Pick and Mix Bowls,10/31/2016 12:14,Afternoon,Weekday
132,132,Cookies,10/31/2016 12:14,Afternoon,Weekday
133,133,Hearty & Seasonal,10/31/2016 12:16,Afternoon,Weekday
133,133,Soup,10/31/2016 12:16,Afternoon,Weekday
134,134,Hearty & Seasonal,10/31/2016 12:19,Afternoon,Weekday
134,134,Tea,10/31/2016 12:19,Afternoon,Weekday
134,134,Farm House,10/31/2016 12:19,Afternoon,Weekday
135,135,Bread,10/31/2016 12:20,Afternoon,Weekday
136,136,Tea,10/31/2016 12:27,Afternoon,Weekday
136,136,Soup,10/31/2016 12:27,Afternoon,Weekday
137,137,Farm House,10/31/2016 12:37,Afternoon,Weekday
138,138,Soup,10/31/2016 12:43,Afternoon,Weekday
138,138,Hearty & Seasonal,10/31/2016 12:43,Afternoon,Weekday
138,138,Coffee,10/31/2016 12:43,Afternoon,Weekday
139,139,Bread,10/31/2016 12:50,Afternoon,Weekday
139,139,Muffin,10/31/2016 12:50,Afternoon,Weekday
139,139,Hearty & Seasonal,10/31/2016 12:50,Afternoon,Weekday
140,140,Coffee,10/31/2016 12:53,Afternoon,Weekday
140,140,Coffee,10/31/2016 12:53,Afternoon,Weekday
140,140,Cookies,10/31/2016 12:53,Afternoon,Weekday
141,141,Bread,10/31/2016 12:54,Afternoon,Weekday
142,142,Tea,10/31/2016 12:56,Afternoon,Weekday
142,142,Muffin,10/31/2016 12:56,Afternoon,Weekday
143,143,Tea,10/31/2016 12:59,Afternoon,Weekday
144,144,Soup,10/31/2016 13:02,Afternoon,Weekday
144,144,Hearty & Seasonal,10/31/2016 13:02,Afternoon,Weekday
145,145,Coffee,10/31/2016 13:05,Afternoon,Weekday
145,145,Tea,10/31/2016 13:05,Afternoon,Weekday
145,145,Focaccia,10/31/2016 13:05,Afternoon,Weekday
146,146,Sandwich,10/31/2016 13:08,Afternoon,Weekday
147,147,Tartine,10/31/2016 13:09,Afternoon,Weekday
147,147,Coffee,10/31/2016 13:09,Afternoon,Weekday
148,148,Fudge,10/31/2016 13:21,Afternoon,Weekday
148,148,Coffee,10/31/2016 13:21,Afternoon,Weekday
148,148,Coffee,10/31/2016 13:21,Afternoon,Weekday
149,149,Coffee,10/31/2016 13:26,Afternoon,Weekday
150,150,Bread,10/31/2016 13:31,Afternoon,Weekday
151,151,Coke,10/31/2016 13:50,Afternoon,Weekday
151,151,Soup,10/31/2016 13:50,Afternoon,Weekday
152,152,Muffin,10/31/2016 13:51,Afternoon,Weekday
153,153,Tea,10/31/2016 13:55,Afternoon,Weekday
153,153,Coffee,10/31/2016 13:55,Afternoon,Weekday
153,153,Cookies,10/31/2016 13:55,Afternoon,Weekday
153,153,Muffin,10/31/2016 13:55,Afternoon,Weekday
154,154,Mighty Protein,10/31/2016 14:00,Afternoon,Weekday
154,154,Hearty & Seasonal,10/31/2016 14:00,Afternoon,Weekday
154,154,Coffee,10/31/2016 14:00,Afternoon,Weekday
154,154,Coke,10/31/2016 14:00,Afternoon,Weekday
155,155,Tea,10/31/2016 14:01,Afternoon,Weekday
155,155,Muffin,10/31/2016 14:01,Afternoon,Weekday
155,155,Sandwich,10/31/2016 14:01,Afternoon,Weekday
156,156,Coffee,10/31/2016 14:04,Afternoon,Weekday
156,156,Muffin,10/31/2016 14:04,Afternoon,Weekday
157,157,Coffee,10/31/2016 14:05,Afternoon,Weekday
157,157,Bread,10/31/2016 14:05,Afternoon,Weekday
158,158,Coffee,10/31/2016 14:20,Afternoon,Weekday
158,158,Muffin,10/31/2016 14:20,Afternoon,Weekday
159,159,Bread,10/31/2016 14:22,Afternoon,Weekday
159,159,Hot chocolate,10/31/2016 14:22,Afternoon,Weekday
159,159,Cookies,10/31/2016 14:22,Afternoon,Weekday
160,160,Mineral water,10/31/2016 14:35,Afternoon,Weekday
160,160,Muffin,10/31/2016 14:35,Afternoon,Weekday
161,161,Tea,10/31/2016 14:42,Afternoon,Weekday
162,162,Muffin,10/31/2016 14:44,Afternoon,Weekday
163,163,Coffee,10/31/2016 14:47,Afternoon,Weekday
163,163,Juice,10/31/2016 14:47,Afternoon,Weekday
164,164,Coffee,10/31/2016 14:47,Afternoon,Weekday
164,164,Muffin,10/31/2016 14:47,Afternoon,Weekday
165,165,Tea,10/31/2016 14:48,Afternoon,Weekday
166,166,Coffee,10/31/2016 14:49,Afternoon,Weekday
166,166,Muffin,10/31/2016 14:49,Afternoon,Weekday
167,167,Sandwich,10/31/2016 14:50,Afternoon,Weekday
167,167,Hearty & Seasonal,10/31/2016 14:50,Afternoon,Weekday
167,167,Bread,10/31/2016 14:50,Afternoon,Weekday
167,167,Mineral water,10/31/2016 14:50,Afternoon,Weekday
168,168,Tea,10/31/2016 14:56,Afternoon,Weekday
168,168,Coffee,10/31/2016 14:56,Afternoon,Weekday
169,169,Mineral water,10/31/2016 15:05,Afternoon,Weekday
170,170,Coffee,10/31/2016 15:16,Afternoon,Weekday
171,171,Soup,10/31/2016 15:20,Afternoon,Weekday
171,171,Tea,10/31/2016 15:20,Afternoon,Weekday
172,172,Bread,10/31/2016 17:06,Evening,Weekday
172,172,Coffee,10/31/2016 17:06,Evening,Weekday
173,173,Bread,10/31/2016 17:08,Evening,Weekday
173,173,Muffin,10/31/2016 17:08,Evening,Weekday
174,174,Coffee,10/31/2016 17:40,Evening,Weekday
175,175,Bread,10/31/2016 17:49,Evening,Weekday
176,176,Cookies,10/31/2016 18:22,Evening,Weekday
176,176,Coffee,10/31/2016 18:22,Evening,Weekday
178,178,Coffee,1/11/2016 7:51,Morning,Weekday
178,178,Pastry,1/11/2016 7:51,Morning,Weekday
179,179,Coffee,1/11/2016 8:20,Morning,Weekday
179,179,Pastry,1/11/2016 8:20,Morning,Weekday
180,180,Jam,1/11/2016 8:22,Morning,Weekday
180,180,Tea,1/11/2016 8:22,Morning,Weekday
181,181,Tea,1/11/2016 8:45,Morning,Weekday
181,181,Tea,1/11/2016 8:45,Morning,Weekday
182,182,Pastry,1/11/2016 9:07,Morning,Weekday
182,182,Pastry,1/11/2016 9:07,Morning,Weekday
182,182,Ella's Kitchen Pouches,1/11/2016 9:07,Morning,Weekday
183,183,Pastry,1/11/2016 9:09,Morning,Weekday
184,184,Farm House,1/11/2016 9:26,Morning,Weekday
184,184,Tea,1/11/2016 9:26,Morning,Weekday
185,185,Tea,1/11/2016 9:29,Morning,Weekday
185,185,Victorian Sponge,1/11/2016 9:29,Morning,Weekday
186,186,Tea,1/11/2016 9:43,Morning,Weekday
186,186,Pastry,1/11/2016 9:43,Morning,Weekday
187,187,Bread,1/11/2016 10:02,Morning,Weekday
188,188,Coffee,1/11/2016 10:04,Morning,Weekday
189,189,Bread,1/11/2016 10:29,Morning,Weekday
189,189,Coffee,1/11/2016 10:29,Morning,Weekday
190,190,Coffee,1/11/2016 10:34,Morning,Weekday
190,190,Pastry,1/11/2016 10:34,Morning,Weekday
190,190,Pastry,1/11/2016 10:34,Morning,Weekday
191,191,Soup,1/11/2016 10:50,Morning,Weekday
191,191,Tea,1/11/2016 10:50,Morning,Weekday
192,192,Bread,1/11/2016 10:56,Morning,Weekday
193,193,Coffee,1/11/2016 11:00,Morning,Weekday
194,194,Bread,1/11/2016 11:04,Morning,Weekday
194,194,Bread,1/11/2016 11:04,Morning,Weekday
195,195,Bread,1/11/2016 11:06,Morning,Weekday
195,195,Scandinavian,1/11/2016 11:06,Morning,Weekday
196,196,Bread,1/11/2016 11:08,Morning,Weekday
196,196,Cake,1/11/2016 11:08,Morning,Weekday
196,196,Cookies,1/11/2016 11:08,Morning,Weekday
197,197,Coffee,1/11/2016 11:10,Morning,Weekday
197,197,Coffee,1/11/2016 11:10,Morning,Weekday
197,197,Tea,1/11/2016 11:10,Morning,Weekday
198,198,Coffee,1/11/2016 11:11,Morning,Weekday
198,198,Cookies,1/11/2016 11:11,Morning,Weekday
199,199,Coffee,1/11/2016 11:13,Morning,Weekday
200,200,Bread,1/11/2016 11:16,Morning,Weekday
201,201,Coffee,1/11/2016 11:22,Morning,Weekday
201,201,Pastry,1/11/2016 11:22,Morning,Weekday
202,202,Coffee,1/11/2016 11:23,Morning,Weekday
202,202,Coffee,1/11/2016 11:23,Morning,Weekday
203,203,Coffee,1/11/2016 11:25,Morning,Weekday
204,204,Scandinavian,1/11/2016 11:30,Morning,Weekday
204,204,Bread,1/11/2016 11:30,Morning,Weekday
205,205,Coffee,1/11/2016 11:49,Morning,Weekday
205,205,Coffee,1/11/2016 11:49,Morning,Weekday
205,205,Pastry,1/11/2016 11:49,Morning,Weekday
206,206,Scandinavian,1/11/2016 11:54,Morning,Weekday
206,206,Coffee,1/11/2016 11:54,Morning,Weekday
206,206,Pastry,1/11/2016 11:54,Morning,Weekday
207,207,Hearty & Seasonal,1/11/2016 12:03,Afternoon,Weekday
207,207,Coffee,1/11/2016 12:03,Afternoon,Weekday
207,207,Muffin,1/11/2016 12:03,Afternoon,Weekday
208,208,Bread,1/11/2016 12:10,Afternoon,Weekday
209,209,Coffee,1/11/2016 12:10,Afternoon,Weekday
210,210,Scandinavian,1/11/2016 12:12,Afternoon,Weekday
211,211,Soup,1/11/2016 12:15,Afternoon,Weekday
211,211,Coffee,1/11/2016 12:15,Afternoon,Weekday
212,212,Coffee,1/11/2016 12:20,Afternoon,Weekday
212,212,Cookies,1/11/2016 12:20,Afternoon,Weekday
212,212,Tartine,1/11/2016 12:20,Afternoon,Weekday
213,213,Bread,1/11/2016 12:22,Afternoon,Weekday
214,214,Bread,1/11/2016 12:26,Afternoon,Weekday
214,214,Tea,1/11/2016 12:26,Afternoon,Weekday
214,214,Tea,1/11/2016 12:26,Afternoon,Weekday
215,215,Pastry,1/11/2016 12:30,Afternoon,Weekday
215,215,Coffee,1/11/2016 12:30,Afternoon,Weekday
216,216,Tartine,1/11/2016 12:31,Afternoon,Weekday
216,216,Coffee,1/11/2016 12:31,Afternoon,Weekday
217,217,Bread,1/11/2016 12:33,Afternoon,Weekday
217,217,Cookies,1/11/2016 12:33,Afternoon,Weekday
218,218,Sandwich,1/11/2016 12:37,Afternoon,Weekday
219,219,Tartine,1/11/2016 12:41,Afternoon,Weekday
220,220,Bread,1/11/2016 12:49,Afternoon,Weekday
220,220,Pastry,1/11/2016 12:49,Afternoon,Weekday
221,221,Bread,1/11/2016 12:53,Afternoon,Weekday
221,221,Scandinavian,1/11/2016 12:53,Afternoon,Weekday
222,222,Scandinavian,1/11/2016 13:08,Afternoon,Weekday
223,223,Alfajores,1/11/2016 13:11,Afternoon,Weekday
223,223,Coffee,1/11/2016 13:11,Afternoon,Weekday
224,224,Coffee,1/11/2016 13:15,Afternoon,Weekday
225,225,Coffee,1/11/2016 13:19,Afternoon,Weekday
225,225,Coke,1/11/2016 13:19,Afternoon,Weekday
225,225,Soup,1/11/2016 13:19,Afternoon,Weekday
226,226,Cake,1/11/2016 13:21,Afternoon,Weekday
227,227,Tea,1/11/2016 13:31,Afternoon,Weekday
227,227,Sandwich,1/11/2016 13:31,Afternoon,Weekday
227,227,Soup,1/11/2016 13:31,Afternoon,Weekday
